Top 100,Org Rk,Name,Org,Pos,Current Level,Trend,FV,ETA,Risk,Age,Ht,Wt,B,T,Signed,Signed From,Video,PlayerId
0,11,"Chris Rodriguez","LAA","RHP","AAA",-1,"45",2021,"High","20.4","6' 1""","185","R","R","2016 Draft Rnd 4 (LAA)","Monsignor Pace HS (FL)","XVIkcyUC3as","22310"
0,11,"Forrest Wall","TOR","CF","",,"45",2019,"Med","23.1","6' 0""","176","L","R","2014 Draft Rnd 1 (COL)","Orangewood Christian HS (FL)","","16496"
0,11,"Jeren Kendall","LAD","CF","",,"45",2021,"High","22.9","6' 0""","190","L","R","2017 Draft Rnd 1 (LAD)","Vanderbilt","r2TAFjALtKw","sa829529"
0,11,"Abraham Toro","HOU","3B","MLB",1,"40+",2021,"Med","22.0","6' 1""","190","S","R","2016 Draft Rnd 5 (HOU)","Seminole State JC (OK)","","19844"
0,11,"Ryan Castellani","COL","RHP","AAA",-1,"40+",2020,"High","22.8","6' 4""","193","R","R","2014 Draft Rnd 2 (COL)","Brophy Prep (AZ)","","16377"
0,11,"Roansy Contreras","NYY","RHP","",,"40+",2022,"High","19.2","6' 0""","175","R","R","2016 J2 (NYY)","Dominican Republic","","22810"
0,11,"Cal Mitchell","PIT","LF","AA",1,"40+",2021,"High","19.8","6' 0""","190","L","L","2017 Draft Rnd 2 (PIT)","Rancho Bernardo HS (CA)","yal8ZxNmuHI","22169"
0,11,"Dillon Tate","BAL","RHP","",-1,"40+",2019,"High","24.7","6' 2""","210","R","R","2015 Draft Rnd 1 (TEX)","UC Santa Barbara","fRtkNQHSqXE","17796"
0,11,"Thomas Szapucki","NYM","LHP","",,"40+",2021,"High","22.6","6' 2""","190","R","L","2015 Draft Rnd 5 (NYM)","Dwyer HS (FL)","aaIRseQiZNU","21065"
0,11,"Luis Garcia","PHI","SS","",,"40+",2023,"High","18.2","5' 11""","170","S","R","2017 J2 (PHI)","Dominican Republic","","sa3007295"
0,11,"Jonathan Ornelas","TEX","SS","AAA",,"40+",2022,"Med","18.6","6' 0""","170","R","R","2018 Draft Rnd 3 (TEX)","Kellis HS (AZ)","","24597"
0,11,"D.J. Wilson","CHC","CF","",-1,"40",2020,"High","22.2","5' 8""","177","L","L","2015 Draft Rnd 4 (CHC)","Canton South HS (OH)","","sa875023"
0,11,"Adrian Houser","MIL","RHP","MLB",,"40",2018,"Med","25.9","6' 4""","225","R","R","2011 Draft Rnd 2 (HOU)","Locust Grove HS (OK)","MMDEa5K4eX4","12718"
0,11,"Josh Ockimey","BOS","1B","",,"40",2020,"High","23.2","6' 1""","215","L","R","2014 Draft Rnd 5 (BOS)","Neumann-Goretti HS (PA)","cSQgarI_0lw","sa829375"
0,11,"Tyler Beede","SFG","RHP","AAA",-1,"40",2018,"Med","25.6","6' 2""","190","R","R","2015 Draft Rnd 1 (SFG)","Vanderbilt","","16981"
0,11,"Michael Gigliotti","KCR","CF","",,"40",2021,"Med","22.9","6' 1""","180","L","L","2017 Draft Rnd 4 (KCR)","Lipscomb","","sa915700"
0,11,"Gage Canning","WSN","CF","",,"40",2021,"Med","21.7","5' 11""","178","L","R","2018 Draft Rnd 5 (WAS)","Arizona State","eGtbuLx_2jg","sa3006711"
0,11,"Taylor Widener","ARI","RHP","",,"40",2019,"High","24.2","6' 0""","195","R","R","2016 Draft Rnd 12 (NYY)","South Carolina","","19266"
0,11,"Nick Rumbelow","SEA","RHP","",,"40",2018,"Low","27.3","6' 0""","190","R","R","2013 Draft Rnd 7 ()","LSU","AfkzDYdWI78","14867"
0,11,"Max Schrock","STL","2B","",,"40",2019,"Low","24.2","5' 8""","165","L","R","2015 Draft Rnd 13 (WSH)","South Carolina","nFXynNq4h0g","17750"
0,12,"Dawel Lugo","DET","2B","",,"45",2019,"Med","24.0","6' 0""","190","R","R","2011 J2 (ARI)","Dominican Republic","","14713"
0,12,"Daulton Jefferies","OAK","RHP","AAA",,"45",2020,"High","23.4","6' 0""","180","L","R","2016 Draft Rnd 1 (OAK)","Cal","ij14-6H6bPU","19345"
0,12,"Jose Miranda","MIN","2B","MLB",,"45",2022,"Med","20.5","6' 2""","180","R","R","2016 Draft Rnd 2 (MIN)","Leadership Christian HS (PR)","","20538"
0,12,"Keury Mella","CIN","RHP","",,"45",2018,"Med","25.4","6' 4""","200","R","R","2011 J2 (SFG)","Dominican Republic","6cI67D4OryA","15964"
0,12,"Carlos Vargas","CLE","RHP","MLB",1,"45",2023,"High","19.2","6' 3""","180","R","R","2016 J2 (CLE)","Dominican Republic","","22915"
0,12,"Trevor Rogers","MIA","LHP","MLB",,"45",2021,"High","21.1","6' 6""","185","L","L","2017 Draft Rnd 1 (MIA)","Carlsbad HS (NM)","EgPQVpXhSuU","22286"
0,12,"Joe McCarthy","TBR","LF","",,"45",2018,"Low","24.9","6' 3""","225","L","L","2015 Draft Rnd 5 (TBR)","Virginia","","18399"
0,12,"Hector Perez","TOR","RHP","",,"45",2020,"High","22.6","6' 3""","190","R","R","2014 J2 (HOU)","Dominican Republic","","18592"
0,12,"Blake Rutherford","CHW","LF","MLB",,"45",2020,"High","21.7","6' 3""","195","L","R","2016 Draft Rnd 1 (NYY)","Chaminade Prep HS (CA)","","19957"
0,12,"Jairo Solis","HOU","RHP","",,"40+",2022,"High","19.0","6' 2""","160","R","R","2016 J2 (HOU)","Venezuela","","sa3003037"
0,12,"Everson Pereira","NYY","CF","MLB",1,"40+",2023,"High","17.7","6' 0""","190","R","R","2017 J2 (NYY)","Venezuela","","23695"
0,12,"Blaine Knight","BAL","RHP",,,"40+",2021,"Med","22.5","6' 3""","170","R","R","2018 Draft Rnd 3 (BAL)","Arkansas","",
0,12,"Francisco Alvarez","NYM","C",,,"40+",2023,"Med","16.6","5' 11""","220","R","R","2018 J2 (NYM)","Venezuela","TG-p0lUDzpM",
0,12,"Trent Deveaux","LAA","CF","",,"40+",2023,"High","18.7","6' 2""","160","R","R","2017 J2 (LAA)","Bahamas","BIjXX56-6bw","sa3006885"
0,12,"Francisco Morales","PHI","RHP","CPX",,"40+",2022,"High","19.2","6' 4""","185","R","R","2016 J2 (PHI)","Venezuela","","22913"
0,12,"Joe Palumbo","TEX","LHP","",1,"40+",2019,"High","24.2","6' 1""","168","L","L","2014 Draft Rnd 30 (TEX)","St. John The Baptist HS (NY)","","17035"
0,12,"Edwin Rios","LAD","1B","",,"40+",2019,"High","24.7","6' 3""","220","L","R","2015 Draft Rnd 6 (LAD)","Florida International","","18316"
0,12,"Brennen Davis","CHC","CF","AAA",,"40",2023,"High","19.2","6' 4""","175","R","R","2018 Draft Rnd 2 (CHC)","Basha HS (AZ)","6gBtKoXW5Gc","sa3007876"
0,12,"Breiling Eusebio","COL","LHP","",,"40",2021,"High","22.2","6' 1""","175","L","L","2013 J2 (COL)","Dominican Republic","_6e6_k8YR2U","sa828552"
0,12,"Zack Brown","MIL","RHP","",1,"40",2019,"High","24.0","6' 1""","180","R","R","2016 Draft Rnd 5 (MIL)","Kentucky","","sa738901"
0,12,"Travis MacGregor","PIT","RHP","AA",1,"40",2021,"High","21.2","6' 3""","180","R","R","2016 Draft Rnd 2 (PIT)","East Lake HS (FL)","","sa917950"
0,12,"Bobby Dalbec","BOS","3B","",,"40",2020,"High","23.5","6' 4""","225","R","R","2016 Draft Rnd 4 (BOS)","Arizona","","19966"
0,12,"C.J. Hinojosa","SFG","3B","AAA",,"40",2019,"Low","24.5","5' 10""","175","R","R","2015 Draft Rnd 11 (SFG)","Texas","","sa658616"
0,12,"Kelvin Gutiérrez","KCR","3B","",,"40",2019,"Low","24.3","6' 3""","185","R","R","2012 J2 (WAS)","Dominican Republic","6mLb50yVjwM","17468"
0,12,"Telmito Agustin","WSN","LF","",1,"40",2020,"Med","22.2","5' 10""","160","L","L","2013 J2 (WAS)","U.S. Virgin Islands","","sa828321"
0,12,"Taylor Clarke","ARI","RHP","MLB",,"40",2018,"Low","25.6","6' 4""","200","R","R","2015 Draft Rnd 3 (ARI)","Charleston","","17611"
0,12,"Matt Festa","SEA","RHP","MLB",,"40",2018,"Low","25.8","6' 2""","195","R","R","2016 Draft Rnd 7 (SEA)","East Stroudsburg","","19330"
0,12,"Randy Arozarena","STL","CF","MLB",,"40",2019,"Med","23.8","5' 11""","195","R","R","2016 J2 (STL)","Cuba","","19290"
0,13,"Tirso Ornelas","SDP","LF","MLB",,"45+",2021,"Med","18.8","6' 4""","180","L","R","2016 J2 (SDP)","Mexico","","22566"
0,13,"Wenceel Pérez","DET","SS","MLB",1,"45",2023,"High","19.2","5' 11""","170","S","R","2016 J2 (DET)","Dominican Republic","","22857"
0,13,"Grant Holmes","OAK","RHP","MLB",,"45",2019,"High","22.8","6' 1""","215","R","R","2014 Draft Rnd 1 (LAD)","Conway HS (SC)","MvTNMZd4LDA","16944"
0,13,"Yunior Severino","MIN","2B","AAA",,"45",2023,"High","19.2","6' 1""","180","S","R","2016 J2 (MIN)","Dominican Republic","loRx-qNixVg","sa3003185"
0,13,"Greyson Jenista","ATL","RF","",,"45",2021,"High","22.1","6' 4""","240","L","R","2018 Draft Rnd 2 (ATL)","Wichita State","v7_ASPpiKVo","sa3007044"
0,13,"TJ Friedl","CIN","CF","MLB",,"45",2019,"Med","23.4","5' 10""","170","L","L","2016 UDFA (CIN)","Nevada","P3qreU_0HUc","19522"
0,13,"Ethan Hankins","CLE","RHP","",,"45",2023,"High","18.6","6' 6""","200","R","R","2018 Draft Rnd 1 (CLE)","Forsyth Central HS (GA)","LrEeDHttijE","sa3008589"
0,13,"Edward Cabrera","MIA","RHP","MLB",,"45",2021,"High","20.7","6' 4""","175","R","R","2015 J2 (MIA)","Dominican Republic","","21690"
0,13,"Ronaldo Hernandez","TBR","C","",1,"45",2022,"High","21.1","6' 1""","195","R","R","2014 J2 (TBR)","Colombia","","sa881850"
0,13,"Jake Burger","CHW","3B","MLB",,"45",2021,"High","22.7","6' 2""","210","R","R","2017 Draft Rnd 1 (CHW)","Missouri State","s3XP82oUmfQ","22275"
0,13,"Tyler Ivey","HOU","RHP","",1,"40+",2020,"High","22.6","6' 4""","195","R","R","2017 Draft Rnd 3 (HOU)","Grayson County JC (TX)","","20237"
0,13,"Ezequiel Duran","NYY","2B","MLB",,"40+",2022,"High","19.6","5' 11""","185","R","R","2016 J2 (NYY)","Dominican Republic","","23733"
0,13,"Ryan McKenna","BAL","CF","",1,"40+",2020,"Med","21.9","5' 11""","185","R","R","2015 Draft Rnd 4 (BAL)","St. Thomas Aquinas HS (NH)","","19928"
0,13,"Kevin Maitan","LAA","3B","",-1,"40+",2022,"High","18.9","6' 2""","190","S","R","2016 J2 (ATL)","Venezuela","0cx8ztyNO2A","sa969045"
0,13,"Ranger Suárez","PHI","LHP","MLB",1,"40+",2019,"Med","23.3","6' 1""","180","L","L","2011 J2 (PHI)","Venezuela","","17277"
0,13,"Billy McKinney","TOR","LF","",,"40+",2018,"Low","24.4","6' 1""","215","L","L","2013 Draft Rnd 1 (NYY)","Plano West HS (TX)","0qE5bDYlRrc","15654"
0,13,"Sherten Apostel","TEX","3B","",,"40+",2022,"High","19.8","6' 4""","213","R","R","2015 J2 (PIT)","Curacao","","21794"
0,13,"Starling Heredia","LAD","CF","",-1,"40+",2022,"High","19.9","6' 2""","200","R","R","2015 J2 (LAD)","Dominican Republic","pNLxwMrBLr4","sa917328"
0,13,"Cole Roederer","CHC","CF","",1,"40",2022,"Med","19.3","6' 0""","175","L","L","2018 Draft Rnd 2 (CHC)","Hart HS (CA)","YP7MT0Ay388","sa3008184"
0,13,"Will Gaddis","COL","RHP","",,"40",2020,"Low","22.8","6' 1""","185","R","R","2017 Draft Rnd 3 (COL)","Furman","xlc2by3lRD0","sa829731"
0,13,"Marcos Diplán","MIL","RHP","",-1,"40",2019,"High","22.3","6' 0""","170","R","R","2013 J2 (TEX)","Dominican Republic","FoG4Cw6p5B0","17583"
0,13,"Jared Oliva","PIT","CF","AAA",1,"40",2021,"High","23.1","6' 3""","187","R","R","2017 Draft Rnd 7 (PIT)","Arizona","","19968"
0,13,"Cole Brannen","BOS","CF","",,"40",2022,"High","20.4","6' 0""","170","L","R","2017 Draft Rnd 2 (BOS)","Westfield HS (GA)","1Kk9ikfUHE0","sa3004616"
0,13,"Manuel Geraldo","SFG","SS","A+",1,"40",2020,"Low","22.3","6' 1""","210","R","R","2013 J2 (SFG)","Dominican Republic","","sa827970"
0,13,"Blake Perkins","KCR","CF","MLB",,"40",2020,"Med","22.8","6' 1""","165","S","R","2016 Draft Rnd 2 (WAS)","Verrado HS (AZ)","97hbiPICZPQ","19921"
0,13,"Andruw Monasterio","WSN","SS","MLB",,"40",2020,"Low","21.6","6' 0""","175","R","R","2013 J2 (CHC)","Venezuela","","19455"
0,13,"Domingo Leyba","ARI","2B","AAA",,"40",2019,"High","23.3","5' 9""","160","S","R","2012 J2 (DET)","Dominican Republic","OYwgNhVUC4w","16404"
0,13,"Carlos Cortes","NYM","LF","MLB",,"40",2021,"Low","21.5","5' 8""","200","L","S","2018 Draft Rnd 3 (NYM)","South Carolina","Pz1pO6aLZwU","21842"
0,13,"Art Warren","SEA","RHP","",,"40",2018,"Low","25.8","6' 3""","230","R","R","2015 Draft Rnd 23 (SEA)","Ashland","","18251"
0,13,"Evan Mendoza","STL","3B","",1,"40",2020,"Med","22.5","6' 2""","200","R","R","2017 Draft Rnd 11 (STL)","North Carolina State","","sa3002836"
0,14,"Hudson Potts","SDP","3B","",,"45+",2020,"Med","20.2","6' 3""","205","R","R","2016 Draft Rnd 1 (SDP)","Southlake Carroll (TX)","snj4NTnQVAc","sa917936"
0,14,"Kyle Funkhouser","DET","RHP","",,"45",2019,"High","24.8","6' 2""","220","R","R","2016 Draft Rnd 4 (DET)","Louisville","j-b1ZwTMYNY","19456"
0,14,"Kyle Muller","ATL","LHP","",1,"45",2021,"High","21.2","6' 6""","215","R","L","2016 Draft Rnd 2 (ATL)","Jesuit Prep HS (TX)","","20167"
0,14,"Tanner Rainey","CIN","RHP","AAA",,"45",2018,"Med","26.0","6' 2""","235","R","R","2015 Draft Rnd 2 (CIN)","West Alabama","","17610"
0,14,"Nick Schnell","TBR","CF","AAA",,"45",2022,"High","18.8","6' 2""","180","L","R","2018 Draft Rnd 1 (TBR)","Roncalli HS (IN)","ISk4togAcBA","sa3007639"
0,14,"Josh James","HOU","RHP","",,"40+",2018,"High","25.8","6' 3""","205","R","R","2014 Draft Rnd 34 (HOU)","Western Oklahoma JC","","16794"
0,14,"Gilberto Celestino","MIN","CF","",,"40+",2021,"Med","19.9","6' 0""","170","R","L","2015 J2 (HOU)","Dominican Republic","QyYaz8gJrxc","20233"
0,14,"Kevin Alcantara","NYY","CF",,,"40+",2024,"High","16.5","6' 5""","175","R","R","2018 J2 (NYY)","Dominican Republic","",
0,14,"Junior Sanquintin","CLE","SS",,,"40+",2023,"Med","17.0","6' 0""","180","S","R","2018 J2 (CLE)","Dominican","I0cN4L2seo0",
0,14,"Mickey Moniak","PHI","CF","MLB",-1,"40+",2021,"Med","20.6","6' 2""","185","L","R","2016 Draft Rnd 1 (PHI)","La Costa Canyon HS (CA)","Q8Q3oaLa-Ds","19956"
0,14,"Cavan Biggio","TOR","2B","",1,"40+",2019,"Med","23.7","6' 1""","205","L","R","2016 Draft Rnd 5 (TOR)","Notre Dame","","19252"
0,14,"Owen White","TEX","RHP",,,"40+",2022,"High","19.4","6' 3""","175","R","R","2018 Draft Rnd 2 (TEX)","Carson HS (NC)","ECsEAbzzCsw",
0,14,"Luis González","CHW","RF","AAA",1,"40+",2020,"Med","23.3","6' 1""","185","L","L","2017 Draft Rnd 3 (CHW)","New Mexico","","20332"
0,14,"Diego Cartaya","LAD","C",,,"40+",2023,"High","16.8","6' 2""","200","R","R","2018 J2 (LAD)","Venezuela","c-LTwTIlv7s",
0,14,"Alec Mills","CHC","RHP","",,"40",2018,"Low","27.1","6' 4""","190","R","R","2012 Draft Rnd 22 (KCR)","UT-Martin","v5aJr-OOmpc","13834"
0,14,"Mitchell Kilkenny","COL","RHP",,,"40",2021,"Med","21.8","6' 3""","205","R","R","2018 Draft Rnd 3 (COL)","Texas A&M","xegFxXPgBNk",
0,14,"Cody Ponce","MIL","RHP","MLB",-1,"40",2019,"Med","24.7","6' 6""","265","R","R","2015 Draft Rnd 2 (MIL)","Cal Poly Pomona","EVHsAoCDRas","17920"
0,14,"Jameson Hannah","OAK","CF","",,"40",2021,"Low","21.4","5' 11""","190","L","L","2018 Draft Rnd 2 (OAK)","Dallas Baptist","","sa3007046"
0,14,"Stephen Alemais","PIT","SS","AA",,"40",2020,"Med","23.7","6' 0""","190","R","R","2016 Draft Rnd 3 (PIT)","Tulane","","sa874070"
0,14,"C.J. Chatham","BOS","SS","",,"40",2020,"High","24.0","6' 3""","185","R","R","2016 Draft Rnd 2 (BOS)","Florida Atlantic","o51fk4q6VrI","sa873984"
0,14,"Zac Gallen","MIA","RHP","",,"40",2019,"Low","23.4","6' 1""","185","R","R","2016 Draft Rnd 3 (STL)","North Carolina","","19291"
0,14,"Jean Carmona","BAL","SS","",,"40",2022,"High","19.2","6' 1""","183","S","R","2016 J2 (MIL)","Dominican Republic","4i402sfEdFA","sa3003340"
0,14,"Jake Wong","SFG","RHP","",,"40",2022,"Med","22.3","6' 1""","210","R","R","2018 Draft Rnd 3 (SFG)","Grand Canyon","","23095"
0,14,"Richard Lovelady","KCR","LHP","MLB",,"40",2019,"Med","23.5","6' 0""","175","L","L","2016 Draft Rnd 10 (KCR)","Kennesaw State","","19337"
0,14,"K.J. Harrison","WSN","C","",,"40",2020,"High","22.4","6' 0""","208","R","R","2017 Draft Rnd 3 (MIL)","Oregon State","z-yadgX651I","sa829382"
0,14,"Alvin Guzman","ARI","CF",,,"40",2024,"High","17.2","6' 1""","165","R","R","2018 J2 (ARI)","Dominican Republic","TJIq3ct8HFM",
0,14,"Simeon Woods Richardson","NYM","RHP","MLB",,"40",2022,"High","18.3","6' 3""","210","R","R","2018 Draft Rnd 2 (NYM)","Kempner HS","","24494"
0,14,"Michael Hermosillo","LAA","RF","",,"40",2018,"Low","24.0","5' 10""","190","R","R","2013 Draft Rnd 28 (LAA)","Ottawa HS (IL)","D0OSPvncrZs","16285"
0,14,"Wyatt Mills","SEA","RHP","MLB",,"40",2019,"Low","23.9","6' 3""","175","R","R","2017 Draft Rnd 3 (SEA)","Gonzaga","","20010"
0,14,"Dylan Carlson","STL","RF","MLB",,"40",2020,"Med","20.2","6' 3""","215","S","L","2016 Draft Rnd 1 (STL)","Elk Grove HS (CA)","","20126"
0,15,"Ryan Weathers","SDP","LHP",,,"45+",2021,"Med","19.2","6' 2""","210","R","L","2018 Draft Rnd 1 (SDP)","Loretto HS (TN)","_NYKyhaRURs",
0,15,"Alex Faedo","DET","RHP","",,"45",2020,"Med","23.1","6' 5""","230","R","R","2017 Draft Rnd 1 (DET)","Florida","","19874"
0,15,"Stuart Fairchild","CIN","CF","AAA",1,"45",2020,"Med","22.8","6' 0""","190","R","R","2017 Draft Rnd 2 (CIN)","Wake Forest","","20321"
0,15,"Nathaniel Lowe","TBR","1B","",1,"45",2019,"High","23.5","6' 4""","240","L","R","2016 Draft Rnd 13 (TBR)","Mississippi State","","19566"
0,15,"Konnor Pilkington","CHW","LHP","",,"40+",2021,"High","21.3","6' 3""","228","L","L","2018 Draft Rnd 3 (CHW)","Mississippi State","P5eoXZT5Ox4","21453"
0,15,"Connor Wong","LAD","C","MLB",,"40+",2020,"High","22.6","6' 1""","180","R","R","2017 Draft Rnd 3 (LAD)","Houston","","19896"
0,15,"Jhoan Duran","MIN","RHP","MLB",,"40+",2022,"High","21.0","6' 5""","175","R","R","2014 J2 (ARI)","Dominican Republic","","21029"
0,15,"Osiel Rodriguez","NYY","RHP",,,"40+",2022,"High","17.1","6' 3""","205","R","R","2018 J2 (NYY)","Cuba","_Jj3rLa-Lm4",
0,15,"Gabriel Rodriguez","CLE","SS",,,"40+",2023,"Med","16.9","6' 2""","175","R","R","2018 J2 (CLE)","Venezuela","JQBYAlGbKIw",
0,15,"Mauricio Llovera","PHI","RHP","",1,"40+",2020,"Med","22.7","5' 11""","200","R","R","2014 J2 (PHI)","Venezuela","pja-ry-k0TQ","20080"
0,15,"Griffin Conine","TOR","RF","MLB",,"40+",2020,"High","21.5","6' 1""","195","L","R","2018 Draft Rnd 2 (TOR)","Duke","QeXzF5QTR2U","21626"
0,15,"Yohander Méndez","TEX","LHP","MLB",-1,"40+",2018,"High","24.0","6' 5""","200","L","L","2011 J2 (TEX)","Venezuela","ftXWbnqqZ5o","14391"
0,15,"Thomas Hatch","CHC","RHP","MLB",,"40",2019,"Med","24.3","6' 1""","190","R","R","2016 Draft Rnd 3 (CHC)","Oklahoma St.","","19264"
0,15,"Seth Beer","HOU","DH","",,"40",2021,"Med","22.3","6' 3""","195","L","R","2018 Draft Rnd 1 (HOU)","Clemson","QgU3Pu8OJ4A","20493"
0,15,"Robert Tyler","COL","RHP","",,"40",2019,"Med","23.5","6' 4""","225","R","R","2016 Draft Rnd 1 (COL)","Georgia","","sa738415"
0,15,"Troy Stokes Jr.","MIL","LF","",,"40",2019,"Med","22.9","5' 8""","182","R","R","2014 Draft Rnd 4 (MIL)","Calvert Hall HS (MD)","DX1Bu8kW3W8","17478"
0,15,"Greg Deichmann","OAK","RF","",,"40",2020,"Med","23.6","6' 2""","190","L","R","2017 Draft Rnd 2 (OAK)","LSU","27ocOVLfiqE","19872"
0,15,"Jason Martin","PIT","RF","",,"40",2019,"Med","23.3","5' 11""","190","L","R","2013 Draft Rnd 8 (HOU)","Orange Lutheran HS (CA)","","16429"
0,15,"Alex Jackson","ATL","C","MLB",-1,"40",2020,"High","23.0","6' 2""","220","R","R","2014 Draft Rnd 1 (SEA)","Rancho Bernardo HS (CA)","LSnvdcH--dg","17276"
0,15,"Durbin Feltman","BOS","RHP","AA",,"40",2019,"Med","21.7","6' 1""","190","R","R","2018 Draft Rnd 3 (BOS)","TCU","l9o5I-rLP60","sa3007959"
0,15,"Joe Dunand","MIA","3B","",1,"40",2021,"High","23.3","6' 2""","205","R","R","2017 Draft Rnd 2 (MIA)","North Carolina State","qgmZPFsFqyw","19727"
0,15,"Matthias Dietz","BAL","RHP","",,"40",2020,"Med","23.3","6' 5""","220","R","R","2016 Draft Rnd 2 (BAL)","Logan JC (IL)","","sa875993"
0,15,"Aramis Garcia","SFG","C","MLB",,"40",2019,"Low","26.0","6' 2""","220","R","R","2014 Draft Rnd 2 (SFG)","Florida International","QmGo_0jeFXg","16925"
0,15,"Emmanuel Rivera","KCR","3B","",,"40",2021,"Med","22.5","6' 2""","195","R","R","2015 Draft Rnd 19 (KCR)","Universidad Interamericana HS (PR)","","19890"
0,15,"Brigham Hill","WSN","RHP","",,"40",2020,"Med","23.5","6' 0""","185","R","R","2017 Draft Rnd 5 (WAS)","Texas A&M","","sa915793"
0,15,"Blaze Alexander","ARI","SS","MLB",,"40",2022,"High","19.6","6' 1""","175","R","R","2018 Draft Rnd 11 (ARI)","IMG Academy HS (FL)","","23789"
0,15,"Tony Dibrell","NYM","RHP","",1,"40",2020,"Med","23.1","6' 3""","190","R","R","2017 Draft Rnd 4 (NYM)","Kennesaw State","","sa3004657"
0,15,"Taylor Ward","LAA","C","MLB",1,"40",2019,"Med","24.0","6' 1""","185","R","R","2015 Draft Rnd 1 (LAA)","Fresno State","","17548"
0,15,"Joey Gerber","SEA","RHP","MLB",,"40",2021,"Low","21.7","6' 4""","215","R","R","2018 Draft Rnd 8 (SEA)","Illinois","","24591"
0,15,"Elehuris Montero","STL","3B","",1,"40",2021,"Med","20.4","6' 3""","195","R","R","2015 J2 (STL)","Dominican Republic","","20543"
0,16,"Bryan Garcia","DET","RHP","",,"45",2020,"Med","23.7","6' 1""","203","R","R","2016 Draft Rnd 6 (DET)","Miami","","19457"
0,16,"Michael Siani","CIN","CF","MLB",,"45",2022,"Med","19.5","5' 11""","190","L","R","2018 Draft Rnd 4 (CIN)","William Penn Charter HS (PA)","KlYz5jJqWSI","22557"
0,16,"Resly Linares","TBR","LHP","",,"45",2021,"High","21.1","6' 2""","170","L","L","2014 J2 (TBR)","Dominican Republic","","sa873296"
0,16,"Xavier Edwards","SDP","2B","MLB",,"45",2022,"Med","19.4","5' 9""","160","S","R","2018 Draft Rnd 1 (SDP)","North Broward Prep HS (FL)","tuFOx2A8XHw","22266"
0,16,"Steele Walker","CHW","LF","",,"40+",2022,"Med","22.4","5' 11""","190","L","L","2018 Draft Rnd 2 (CHW)","Oklahoma","","22093"
0,16,"Tony Gonsolin","LAD","RHP","",1,"40+",2019,"Low","24.6","6' 2""","180","R","R","2016 Draft Rnd 9 (LAD)","St. Mary's","","19388"
0,16,"Freicer Perez","NYY","RHP","",-1,"40+",2021,"High","22.8","6' 8""","190","R","R","2015 J2 (NYY)","Dominican Republic","","sa873207"
0,16,"Christopher Morel","CHC","SS","MLB",1,"40",2023,"High","19.5","6' 0""","140","R","R","2015 J2 (CHC)","Dominican Republic","","21897"
0,16,"Reymin Guduan","HOU","LHP","",,"40",2018,"Low","26.8","6' 4""","205","L","L","2009 J2 (HOU)","Dominican Republic","","13058"
0,16,"Sam Hilliard","COL","RF","",,"40",2020,"Med","24.9","6' 5""","225","L","L","2015 Draft Rnd 15 (COL)","Wichita State","","17954"
0,16,"Jacob Nottingham","MIL","C","",,"40",2018,"High","23.7","6' 3""","220","R","R","2013 Draft Rnd 6 (OAK)","Redlands HS (CA)","a8PZOBviMVk","16448"
0,16,"Marcos Brito","OAK","2B","",,"40",2022,"High","18.8","6' 0""","160","S","R","2016 J2 (OAK)","Dominican Republic","I8kqkK1HD_k","sa3003183"
0,16,"Blayne Enlow","MIN","RHP","AAA",,"40",2022,"High","19.8","6' 3""","170","R","R","2017 Draft Rnd 3 (MIN)","St. Amat HS (LA)","aZJ78IL6QJ8","sa3005117"
0,16,"Bryan Reynolds","PIT","LF","MLB",-1,"40",2020,"High","23.9","6' 3""","205","S","R","2016 Draft Rnd 2 (SFG)","Vanderbilt","8Nr61qxya9M","19326"
0,16,"Tucker Davidson","ATL","LHP","AAA",-1,"40",2021,"High","22.8","6' 2""","215","L","L","2016 Draft Rnd 19 (ATL)","Midland JC (TX)","","19871"
0,16,"Jhonathan Díaz","BOS","LHP","",1,"40",2019,"Med","22.3","6' 0""","190","L","L","2013 J2 (BOS)","Venezuela","","20298"
0,16,"Eli Morgan","CLE","RHP","MLB",,"40",2020,"Med","22.6","5' 10""","190","R","R","2017 Draft Rnd 8 (CLE)","Gonzaga","","20203"
0,16,"Osiris Johnson","MIA","CF","",,"40",2023,"High","18.2","6' 1""","185","S","R","2018 Draft Rnd 2 (MIA)","Encinal HS","V3s25q8PgR0","sa3008110"
0,16,"Brenan Hanifee","BAL","RHP","MLB",,"40",2021,"High","20.6","6' 5""","180","R","R","2016 Draft Rnd 4 (BAL)","Ashby HS (VA)","","22304"
0,16,"Ray Black","SFG","RHP","AAA",1,"40",2018,"High","28.5","6' 5""","225","R","R","2011 Draft Rnd 7 (SFG)","Pittsburgh","","14244"
0,16,"Gabriel Cancel","KCR","2B","AAA",1,"40",2021,"Med","22.1","6' 1""","185","R","R","2015 Draft Rnd 7 (KCR)","Belen HS (PR)","","sa875231"
0,16,"José Marmolejos","WSN","1B","AAA",,"40",2018,"Low","26.0","6' 1""","190","L","L","2010 J2 (WAS)","Dominican Republic","","15767"
0,16,"Eduardo Diaz","ARI","CF","",,"40",2022,"Med","21.5","6' 2""","175","R","R","2015 J2 (ARI)","Dominican Republic","","sa917182"
0,16,"Adrian Hernandez","NYM","RF","",,"40",2022,"High","17.9","5' 9""","210","R","R","2017 J2 (NYM)","Dominican Republic","","sa3005487"
